Hazardous substance,pounds,kilograms
Benzo[b]fluoranthene,1,0.454
Benzo(k)fluoranthene,5000,2270
"7-Benzofuranol, 2,3-dihydro-2,2-dimethyl-",10,4.54
"7-Benzofuranol, 2,3-dihydro-2,2-dimethyl-, methylcarbamate",10,4.54
Benzoic acid,5000,2270
"Benzoic acid, 2-hydroxy-, compd. with(3aS-cis)-1,2,3,3a,8,8a-hexahydro-1,3a,8-trimethylpyrrolo [2,3-b]indol-5-ylmethylcarbamate ester (1:1)",100,45.4
Benzonitrile,5000,2270
Benzo[rst]pentaphene,10,4.54
Benzo[ghi]perylene,5000,2270
"2H-1-Benzopyran-2-one, 4-hydroxy-3-(3-oxo-1-phenylbutyl)-, & salts",100,45.4
Benzo[a]pyrene,1,0.454
"3,4-Benzopyrene ",1,0.454
p-Benzoquinone,10,4.54
Benzotrichloride,10,4.54
Benzoyl chloride,1000,454
Benzyl chloride,100,45.4
Beryllium¢,10,4.54
Beryllium chloride,1,0.454
Beryllium fluoride,1,0.454
Beryllium nitrate,1,0.454
Beryllium powder¢,10,4.54
alpha-BHC,10,4.54
beta-BHC,1,0.454
delta-BHC,1,0.454
gamma-BHC,1,0.454
"2,2′-Bioxirane",10,4.54
Biphenyl,100,45.4
"[1,1′-Biphenyl]-4,4′-diamine",1,0.454
"[1,1′-Biphenyl]-4,4′-diamine,3,3′-dichloro-",1,0.454
"[1,1′-Biphenyl]-4,4′-diamine,3,3′-dimethoxy-",100,45.4
"[1,1′-Biphenyl]-4,4′-diamine,3,3′-dimethyl-",10,4.54
Bis(2-chloroethoxy) methane,1000,454
Bis(2-chloroethyl) ether,10,4.54
Bis(chloromethyl) ether,10,4.54
Bis(2-ethylhexyl) phthalate,100,45.4
Bromoacetone,1000,454
Bromoform,100,45.4
Bromomethane,1000,454
4-Bromophenyl phenyl ether,100,45.4
Brucine,100,45.4
"1,3-Butadiene",10,4.54
"1,3-Butadiene, 1,1,2,3,4,4-hexachloro-",1,0.454
"1-Butanamine, N-butyl-N-nitroso-",10,4.54
1-Butanol,5000,2270
2-Butanone,5000,2270
"2-Butanone, 3,3-dimethyl-1(methylthio)-,O [(methylamino) carbonyl] oxime",100,45.4
2-Butanone peroxide,10,4.54
2-Butenal,100,45.4
"2-Butene, 1,4-dichloro-",1,0.454
"2-Butenoic acid, 2-methyl-, 7-[[2,3-dihydroxy-2-(1-methoxyethyl)-3-methyl-1-oxobutoxy] methyl]-2,3,5,7atetrahydro-1H-pyrrolizin-1-yl ester, [1S-[1alpha(Z), 7(2S*,3R*),7aalpha]]-",10,4.54
Butyl acetate,5000,2270
iso-Butyl acetate,5000,2270
sec-Butyl acetate,5000,2270
tert-Butyl acetate,5000,2270
n-Butyl alcohol,5000,2270
Butylamine,1000,454
iso-Butylamine,1000,454
sec-Butylamine,1000,454
tert-Butylamine,1000,454
Butyl benzyl phthalate,100,45.4
n-Butyl phthalate,10,4.54
Butyric acid,5000,2270
iso-Butyric acid,5000,2270
Cacodylic acid,1,0.454
Cadmium¢,10,4.54
Cadmium acetate,10,4.54
Cadmium bromide,10,4.54
Cadmium chloride,10,4.54
Calcium arsenate,1,0.454
Calcium arsenite,1,0.454
Calcium carbide,10,4.54
Calcium chromate,10,4.54
Calcium cyanamide,1000,454
Calcium cyanide Ca(CN)2,10,4.54
Calcium dodecylbenzenesulfonate,1000,454
Calcium hypochlorite,10,4.54
Captan,10,4.54
"Carbamic acid, 1H-benzimidazol-2-yl,methyl ester",10,4.54
"Carbamic acid, [1-[(butylamino)carbonyl]-1Hbenzimidazol-2-yl]-, methyl ester",10,4.54
"Carbamic acid, (3-chlorophenyl)-, 4-chloro-2-butynyl ester",10,4.54
"Carbamic acid, [(dibutylamino)-thio]methyl-, 2,3-dihydro-2,2-dimethyl-7-benzofuranyl ester",1000,454
"Carbamic acid, dimethyl-,1-[(dimethylamino)carbonyl]-5-methyl-1H-pyrazol-3-yl ester",1,0.454
"Carbamic acid, dimethyl-, 3-methyl-1-(1-methylethyl)-1H-pyrazol-5-yl ester",100,45.4
"Carbamic acid, ethyl ester",100,45.4
"Carbamic acid, methyl-, 3-methylphenylester",1000,454
"Carbamic acid, methylnitroso-, ethyl ester",1,0.454
"Carbamic acid, [1,2-phenylenebis(iminocarbonothioyl)] bis-,dimethyl ester",10,4.54
"Carbamic acid, phenyl-, 1-methylethylester",1000,454
"Carbamic chloride, dimethyl-",1,0.454
"Carbamodithioic acid, 1,2-ethanediylbis-,salts & esters",5000,2270
"Carbamothioic acid, bis(1-methylethyl)-,S-(2,3-dichloro-2-propenyl) ester",100,45.4
"Carbamothioic acid, bis(1-methylethyl)-,S-(2,3-dichloro-2-propenyl) ester",100,45.4
"Carbamothioic acid, dipropyl-, S-(phenylmethyl) ester",5000,2270
Carbaryl,100,45.4
Carbendazim,10,4.54
Carbofuran,10,4.54
Carbofuran phenol,10,4.54
Carbon disulfide,100,45.4
"Carbonic acid, dithallium(1 + ) salt ",100,45.4
Carbonic dichloride,10,4.54
Carbonic difluoride,1000,454
"Carbonochloridic acid, methyl ester ",1000,454
Carbon oxyfluoride,1000,454
Carbon tetrachloride,10,4.54
Carbonyl sulfide,100,45.4
Carbosulfan,1000,454
Catechol,100,45.4
Chloral,5000,2270
Chloramben,100,45.4
Chlorambucil,10,4.54
Chlordane,1,0.454
"Chlordane, alpha & gamma isomers",1,0.454
CHLORDANE (TECHNICALMIXTURE AND METABOLITES),1,0.454
Chlorinated camphene,1,0.454
Chlorine,10,4.54
Chlornaphazine,100,45.4
Chloroacetaldehyde,1000,454
Chloroacetic acid,100,45.4
2-Chloroacetophenone,100,45.4
p-Chloroaniline,1000,454
Chlorobenzene,100,45.4
Chlorobenzilate,10,4.54
p-Chloro-m-cresol,5000,2270
Chlorodibromomethane,100,45.4
"1-Chloro-2,3-epoxypropane ",100,45.4
Chloroethane,100,45.4
2-Chloroethyl vinyl ether,1000,454
Chloroform,10,4.54
Chloromethane,100,45.4
Chloromethyl methyl ether,10,4.54
beta-Chloronaphthalene,5000,2270
2-Chloronaphthalene,5000,2270
2-Chlorophenol,100,45.4
o-Chlorophenol,100,45.4
4-Chlorophenyl phenyl ether,5000,2270
1-(o-Chlorophenyl)thiourea,100,45.4
Chloroprene,100,45.4
3-Chloropropionitrile,1000,454
Chlorosulfonic acid,1000,454
"4-Chloro-o-toluidine, hydrochloride ",100,45.4
Chlorpyrifos,1,0.454
Chromic acetate,1000,454
Chromic acid,10,4.54
"Chromic acid H2CrO4, calcium salt ",10,4.54
Chromic sulfate,1000,454
Chromium ¢,5000,2270
Chromous chloride,1000,454
Chrysene,100,45.4
Cobaltous bromide,1000,454
Cobaltous formate,1000,454
Cobaltous sulfamate,1000,454
Coke Oven Emissions,1,0.454
Copper ¢,5000,2270
Copper chloride @,10,4.54
Copper cyanide Cu(CN),10,4.54
Coumaphos,10,4.54
Creosote,1,0.454
Cresol (cresylic acid),100,45.4
m-Cresol,100,45.4
o-Cresol,100,45.4
p-Cresol,100,45.4
Cresols (isomers and mixture),100,45.4
Cresylic acid (isomers and mixture),100,45.4
Crotonaldehyde,100,45.4
Cumene,5000,2270
m-Cumenyl methylcarbamate,10,4.54
Cupric acetate,100,45.4
Cupric acetoarsenite,1,0.454
Cupric chloride,10,4.54
Cupric nitrate,100,45.4
Cupric oxalate,100,45.4
Cupric sulfate,10,4.54
"Cupric sulfate, ammoniated ",100,45.4
Cupric tartrate,100,45.4
Cyanides (soluble salts and complexes)not otherwise specified,10,4.54
Cyanogen,100,45.4
Cyanogen bromide (CN)Br,1000,454
Cyanogen chloride (CN)Cl,10,4.54
"2,5-Cyclohexadiene-1,4-dione ",10,4.54
Cyclohexane,1000,454
"Cyclohexane, 1,2,3,4,5,6-hexachloro-,(1α, 2α, 3β-, 4α, 5α, 6β)",1,0.454
Cyclohexanone,5000,2270
"2-Cyclohexyl-4,6-dinitrophenol ",100,45.4
"1,3-Cyclopentadiene, 1,2,3,4,5,5-hexachloro-",10,4.54
Cyclophosphamide,10,4.54
"2,4-D Acid ",100,45.4
"2,4-D Ester ",100,45.4
"2,4-D, salts and esters ",100,45.4
Daunomycin,10,4.54
DDD,1,0.454
"4,4′-DDD ",1,0.454
DDE (72-55-9)#,1,0.454
DDE (3547-04-4)#,5000,2270
"4,4′-DDE ",1,0.454
DDT,1,0.454
"4,4′-DDT ",1,0.454
DEHP,100,45.4
Diallate,100,45.4
Diazinon,1,0.454
Diazomethane,100,45.4
"Dibenz[a,h]anthracene ",1,0.454
"1,2:5,6-Dibenzanthracene ",1,0.454
"Dibenzo[a,h]anthracene ",1,0.454
Dibenzofuran,100,45.4
"Dibenzo[a,i]pyrene ",10,4.54
"1,2-Dibromo-3-chloropropane ",1,0.454
Dibromoethane,1,0.454
Dibutyl phthalate,10,4.54
Di-n-butyl phthalate,10,4.54
Dicamba,1000,454
Dichlobenil,100,45.4
Dichlone,1,0.454
Dichlorobenzene,100,45.4
"1,2-Dichlorobenzene ",100,45.4
"1,3-Dichlorobenzene",100,45.4
"1,4-Dichlorobenzene ",100,45.4
m-Dichlorobenzene,100,45.4
o-Dichlorobenzene,100,45.4
p-Dichlorobenzene,100,45.4
"3,3′-Dichlorobenzidine ",1,0.454
Dichlorobromomethane,5000,2270
"1,4-Dichloro-2-butene ",1,0.454
Dichlorodifluoromethane,5000,2270
"1,1-Dichloroethane",1000,454
"1,2-Dichloroethane ",100,45.4
"1,1-Dichloroethylene ",100,45.4
"1,2-Dichloroethylene ",1000,454
Dichloroethyl ether,10,4.54
Dichloroisopropyl ether,1000,454
Dichloromethane,1000,454
Dichloromethoxyethane,1000,454
Dichloromethyl ether,10,4.54
"2,4-Dichlorophenol ",100,45.4
"2,6-Dichlorophenol ",100,45.4
Dichlorophenylarsine,1,0.454
Dichloropropane,1000,454
"1,1-Dichloropropane",1000,454
"1,3-Dichloropropane",1000,454
"1,2-Dichloropropane ",1000,454
Dichloropropane-Dichloropropene(mixture),100,45.4
Dichloropropene,100,45.4
"2,3-Dichloropropene",100,45.4
"1,3-Dichloropropene ",100,45.4
"2,2-Dichloropropionic acid ",5000,2270
Dichlorvos,10,4.54
Dicofol,10,4.54
Dieldrin,1,0.454
"1,2:3,4-Diepoxybutane ",10,4.54
Diethanolamine,100,45.4
Diethylamine,100,45.4
"N,N-Diethylaniline ",1000,454
Diethylarsine,1,0.454
"Diethylene glycol, dicarbamate",5000,2270
"1,4-Diethyleneoxide ",100,45.4
Diethylhexyl phthalate,100,45.4
"N,N′-Diethylhydrazine",10,4.54
"O,O-Diethyl S-methyl dithiophosphate ",5000,2270
Diethyl-p-nitrophenyl phosphate,100,45.4
Diethyl phthalate,1000,454
"O,O-Diethyl O-pyrazinylphosphorothioate",100,45.4
Diethylstilbestrol,1,0.454
Diethyl sulfate,10,4.54
Dihydrosafrole,10,4.54
Diisopropylfluorophosphate (DFP),100,45.4
"1,4:5,8-Dimethanonaphthalene,1,2,3,4,10,10-hexachloro-1,4,4a,5,8,8ahexahydro-,(1alpha, 4alpha, 4abeta,5alpha, 8alpha, 8abeta)-",1,0.454
"1,4:5,8-Dimethanonaphthalene,1,2,3,4,10,10-hexachloro-1,4,4a,5,8,8ahexahydro-,(1alpha, 4alpha, 4abeta,5beta, 8beta, 8abeta)-",1,0.454
"2,7:3,6-Dimethanonaphth[2,3-b]oxirene,3,4,5,6,9,9-hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-, (1aalpha,2beta, 2aalpha, 3beta, 6beta, 6aalpha,7beta, 7aalpha)-",1,0.454
"2,7:3,6-Dimethanonaphth[2, 3-b]oxirene,3,4,5,6,9,9-hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-, (1aalpha,2beta, 2abeta, 3alpha, 6alpha, 6abeta,7beta, 7aalpha)-, & metabolites",1,0.454
Dimethoate,10,4.54
"3,3′-Dimethoxybenzidine",100,45.4
Dimethylamine,1000,454
Dimethyl aminoazobenzene,10,4.54
p-Dimethylaminoazobenzene,10,4.54
"N,N-Dimethylaniline 100 (45.4)",100,45.4
"7,12-Dimethylbenz[a]anthracene 1 (0.454)",1,0.454
"3,3′-Dimethylbenzidine 10 (4.54)",10,4.54
"alpha,alpha-Dimethylbenzylhydroperoxide10 (4.54)",10,4.54
Dimethylcarbamoyl chloride 1 (0.454),1,0.454
Dimethylformamide 100 (45.4),100,45.4
"1,1-Dimethylhydrazine 10 (4.54)",10,4.54
"1,2-Dimethylhydrazine 1 (0.454)",1,0.454
"Dimethylhydrazine, unsymmetrical@ 10 (4.54)",10,4.54
"alpha,alpha-Dimethylphenethylamine 5000 (2270)",5000,2270
"2,4-Dimethylphenol 100 (45.4)",100,45.4
Dimethyl phthalate 5000 (2270),5000,2270
Dimethyl sulfate 100 (45.4),100,45.4
Dimetilan 1 (0.454),1,0.454
Dinitrobenzene (mixed) 100 (45.4),100,45.4
m-Dinitrobenzene,10,4.54
o-Dinitrobenzene,10,4.54
p-Dinitrobenzene,10,4.54
"4,6-Dinitro-o-cresol, and salts",10,4.54
Dinitrogen tetroxide@,10,4.54
Dinitrophenol,10,4.54
"2,5-Dinitrophenol",10,4.54
"2,6-Dinitrophenol",10,4.54
"2,4-Dinitrophenol 10 (4.54)",10,4.54
Dinitrotoluene 10 (4.54),10,4.54
"3,4-Dinitrotoluene",10,4.54
"2,4-Dinitrotoluene 10 (4.54)",10,4.54
"2,6-Dinitrotoluene 100 (45.4)",100,45.4
Dinoseb 1000 (454),1000,454
Di-n-octyl phthalate 5000 (2270),5000,2270
"1,4-Dioxane 100 (45.4)",100,45.4
"1,2-Diphenylhydrazine 10 (4.54)",10,4.54
"Diphosphoramide, octamethyl- 100 (45.4)",100,45.4
"Diphosphoric acid, tetraethyl ester 10 (4.54)",10,4.54
Dipropylamine 5000 (2270),5000,2270
Di-n-propylnitrosamine 10 (4.54),10,4.54
Diquat 1000 (454),1000,454
Disulfoton 1 (0.454),1,0.454
Dithiobiuret 100 (45.4),100,45.4
"1,3-Dithiolane-2-carboxaldehyde, 2,4-dimethyl-, O-[(methylamino)-carbonyl]oxime100 (45.4)",100,45.4
Diuron 100 (45.4),100,45.4
Dodecylbenzenesulfonic acid 1000 (454),1000,454
Endosulfan 1 (0.454),1,0.454
alpha-Endosulfan 1 (0.454),1,0.454
beta-Endosulfan 1 (0.454),1,0.454
Endosulfan sulfate 1 (0.454),1,0.454
Endothall 1000 (454),100,45.4
Endrin 1 (0.454),1,0.454
Endrin aldehyde 1 (0.454),1,0.454
"Endrin, & metabolites 1 (0.454)",1,0.454
Epichlorohydrin 100 (45.4),100,45.4
Epinephrine 1000 (454),1000,454
"1,2-Epoxybutane 100 (45.4)",100,45.4
Ethanal 1000 (454),1000,454
"Ethanamine, N,N-diethyl- 5000 (2270)",5000,2270
"Ethanamine, N-ethyl-N-nitroso- 1 (0.454)",1,0.454
"1,2-Ethanediamine, N,N-dimethyl-N′-2-pyridinyl-N′-(2-thienylmethyl)-5000 (2270)",5000,2270
"Ethane, 1,2-dibromo- 1 (0.454)",1,0.454
"Ethane, 1,1-dichloro- 1000 (454)",1000,454
"Ethane, 1,2-dichloro- 100 (45.4)",100,45.4
Ethanedinitrile 100 (45.4),100,45.4
"Ethane, hexachloro- 100 (45.4)",100,45.4
"Ethane, 1,1′-[methylenebis(oxy)]bis[2-chloro-1000 (454)",1000,454
"Ethane, 1,1′-oxybis- 100 (45.4)",100,45.4
"Ethane, 1,1′-oxybis[2-chloro- 10 (4.54)",10,4.54
"Ethane, pentachloro- 10 (4.54)",10,4.54
"Ethane, 1,1,1,2-tetrachloro- 100 (45.4)",100,45.4
"Ethane, 1,1,2,2-tetrachloro- 100 (45.4)",100,45.4
Ethanethioamide 10 (4.54),10,4.54
"Ethane, 1,1,1-trichloro- 1000 (454)",1000,454
"Ethane, 1,1,2-trichloro- 100 (45.4)",100,45.4
"Ethanimidothioic acid, 2-(dimethylamino)-N-hydroxy-2-oxo-,methyl ester5000 (2270)",5000,2270
"Ethanimidothioic acid, 2-(dimethylamino)-N-[[(methylamino)carbonyl]oxy]-2-oxo-, methyl ester100 (45.4)",100,45.4
"Ethanimidothioic acid, N-[[(methylamino) carbonyl]oxy]-, methylester100 (45.4)",100,45.4
"Ethanimidothioic acid,N,N′[thiobis[(methylimino)carbonyloxy]]bis-, dimethyl ester100 (45.4)",100,45.4
"Ethanol, 2-ethoxy- 1000 (454)",1000,454
"Ethanol, 2,2′-(nitrosoimino)bis- 1 (0.454)",1,0.454
"Ethanol, 2,2′-oxybis-, dicarbamate 5000 (2270)",5000,2270
"Ethanone, 1-phenyl- 5000 (2270)",5000,2270
"Ethene, chloro- 1 (0.454)",1,0.454
"Ethene, (2-chloroethoxy)- 1000 (454)",1000,454
"Ethene, 1,1-dichloro- 100 (45.4)",100,45.4
"Ethene, 1,2-dichloro-(E) 1000 (454)",1000,454
"Ethene, tetrachloro- 100 (45.4)",100,45.4
"Ethene, trichloro- 100 (45.4)",100,45.4
Ethion 10 (4.54),10,4.54
Ethyl acetate 5000 (2270),5000,2270
Ethyl acrylate 1000 (454),1000,454
Ethylbenzene 1000 (454),1000,454
Ethyl carbamate 100 (45.4),100,45.4
Ethyl chloride 100 (45.4),100,45.4
Ethyl cyanide 10 (4.54),10,4.54
"Ethylenebisdithiocarbamic acid, salts &esters5000 (2270)",5000,2270
Ethylenediamine 5000 (2270),5000,2270
Ethylenediamine-tetraacetic acid (EDTA) 5000 (2270),5000,2270
Ethylene dibromide 1 (0.454),1,0.454
Ethylene dichloride 100 (45.4),100,45.4
Ethylene glycol 5000 (2270),5000,2270
Ethylene glycol monoethyl ether 1000 (454),1000,454
Ethylene oxide 10 (4.54),10,4.54
Ethylenethiourea 10 (4.54),10,4.54
Ethylenimine 1 (0.454),1,0.454
Ethyl ether 100 (45.4),100,45.4
Ethylidene dichloride 1000 (454),1000,454
Ethyl methacrylate 1000 (454),1000,454
Ethyl methanesulfonate 1 (0.454),1,0.454
Ethyl methyl ketone@ 5000 (2270),5000,2270
Famphur 1000 (454),1000,454
Ferric ammonium citrate 1000 (454),1000,454
Ferric ammonium oxalate 1000 (454),1000,454
Ferric chloride 1000 (454),1000,454
Ferric fluoride 100 (45.4),100,45.4
Ferric nitrate 1000 (454),1000,454
Ferric sulfate 1000 (454),1000,454
Ferrous ammonium sulfate 1000 (454),1000,454
Ferrous chloride 100 (45.4),100,45.4
Ferrous sulfate 1000 (454),1000,454
Fluoranthene 100 (45.4),100,45.4
Fluorene 5000 (2270),5000,2270
Fluorine 10 (4.54),10,4.54
Fluoroacetamide,100,45.4
"Fluoroacetic acid, sodium salt ",10,4.54
Formaldehyde,100,45.4
Formetanate hydrochloride,100,45.4
Formic acid,5000,2270
Formparanate,100,45.4
"Fulminic acid, mercury(2 + )salt",10,4.54
Fumaric acid 5000 (2270),5000,2270
Furan 100 (45.4),100,45.4
2-Furancarboxyaldehyde 5000 (2270),5000,2270
"2,5-Furandione 5000 (2270)",5000,2270
"Furan, tetrahydro- 1000 (454)",1000,454
Furfural 5000 (2270),5000,2270
Furfuran 100 (45.4),100,45.4
"Glucopyranose, 2-deoxy-2-(3-methyl-3-nitrosoureido)-, D-",1,0.454
"D-Glucose, 2-deoxy-2-[[(methylnitrosoamino)-carbonyl]amino]-",1,0.454
Glycidylaldehyde 10 (4.54),10,4.54
"Guanidine, N-methyl-N′-nitro-N-nitroso- 10 (4.54)",10,4.54
Guthion 1 (0.454),1,0.454
Heptachlor 1 (0.454),1,0.454
Heptachlor epoxide 1 (0.454),1,0.454
Hexachlorobenzene 10 (4.54),10,4.54
Hexachlorobutadiene 1 (0.454),1,0.454
Hexachlorocyclopentadiene 10 (4.54),10,4.54
Hexachloroethane 100 (45.4),100,45.4
Hexachlorophene 100 (45.4),100,45.4
Hexachloropropene 1000 (454),1000,454
Hexaethyl tetraphosphate 100 (45.4),100,45.4
"Hexamethylene-1,6-diisocyanate 100 (45.4)",100,45.4
Hexamethylphosphoramide 1 (0.454),1,0.454
Hexane 5000 (2270),5000,2270
Hexone 5000 (2270),5000,2270
Hydrazine 1 (0.454),1,0.454
Hydrazinecarbothioamide 100 (45.4),100,45.4
"Hydrazine, 1,2-diethyl- 10 (4.54)",10,4.54
