UN Number,PSN,Haz Class,Sub Class,PG,SP,Pack Paragraph
UN1989,"ALDEHYDES, N.O.S.",3,,I,P3,A7.2
UN1988,"ALDEHYDES, FLAMMABLE, TOXIC, N.O.S",3,6.1,I,P3,A7.2
UN2839,ALDOL,6.1,,II,P5,A10.4
UN3206,"ALKALI METAL ALCOHOLATES, SELFHEATING, CORROSIVE, N.O.S.",4.2,8,II,P4,A8.3
UN1421,"ALKALI METAL ALLOYS, LIQUID, N.O.S",4.3,,I,"P3, A2, A7, N34",A8.2
UN1389,"ALKALI METAL AMALGAM, LIQUID",4.3,,I,"P3, A2, A7, N34",A8.2
UN3401,"ALKALI METAL AMALGAM, SOLID",4.3,,I,"P3, N40",A8.3
UN1390,ALKALI METAL AMIDES,4.3,,II,"P5, A6, A7, A8, A19, A20",A8.3
UN1391,ALKALI METAL DISPERSIONS or ALKALINE EARTH METAL DISPERSIONS,4.3,,I,"P3, A2, A7",A8.2
UN3482,"ALKALI METAL DISPERSIONS, FLAMMABLE or ALKALINE EARTH METAL DISPERSIONS, FLAMMABLE",4.3,3,I,"P3, A2, A7",A8.2
UN3205,"ALKALINE EARTH METAL ALCOHOLATES, N.O.S",4.2,,II,"P4, A7",A8.3
UN1393,"ALKALINE EARTH METAL ALLOYS, N.O.S.",4.3,,II,"P5, A19",A8.3
UN1392,ALKALINE EARTH METAL AMALGAMS LIQUID,4.3,,I,"P3, A19, N34, N40",A8.2
UN3402,ALKALINE EARTH METAL AMALGAMS SOLID,4.3,,I,"P3, A19, N34, N40",A8.3
UN3140,"ALKALOIDS, LIQUID, N.O.S. or ALKALOID SALTS, LIQUID, N.O.S.",6.1,,I,"P3, A4",A10.4
UN1544,"ALKALOIDS, SOLID, N.O.S. or ALKALOID SALTS, SOLID, N.O.S.",6.1,,I,P5,A10.5
UN3145,"ALKYLPHENOLS, LIQUID, N.O.S.",8,,I,P3,A12.2
UN2430,"ALKYLPHENOLS, SOLID, N.O.S.",8,,I,P5,A12.3
UN2584,"ALKYLSULFONIC ACIDS, LIQUID or ARYLSULFONIC ACIDS, LIQUID with more than 5% free sulphuric acid",8,,II,P5,A12.2
UN2586,"ALKYLSULFONIC ACIDS, LIQUID or ARYLSULFONIC ACIDS, LIQUID with not morethan 5% free sulfuric acid",8,,III,P5,A12.2
